num,birthDate,sex,fam,bru_info,bru_date,tube_info,tube_date,update
002 1464 0736 6,2020-01-18 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 3779 6,2019-12-09 (19개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1453 4138 2,2020-01-11 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4571 0,2020-01-24 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4767 4,2020-01-28 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 0785 0,2020-01-17 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1496 7286 1,2019-11-30 (19개월령),거세,21.05.04 (2차) 접종 후 37일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4765 8,2020-01-23 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 3025 3,2020-01-22 (17개월령),암,21.05.03 (3차) 접종 후 38일 경과,음성,2020-07-30 검사일로부터 315일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 2976 3,2020-03-13 (15개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 0326 5,2020-01-19 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-16 검사일로부터 511일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1464 0763 9,2020-01-20 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-07 검사일로부터 520일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 3951 1,2019-12-22 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4806 4,2020-01-29 (17개월령),거세,21.05.03 (2차) 접종 후 38일 경과,음성,2020-01-21 검사일로부터 506일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4094 0,2019-12-22 (18개월령),거세,21.05.03 (2차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1465 4573 6,2020-01-29 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,해당 없음,,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
002 1479 0449 1,2020-02-01 (17개월령),거세,21.05.03 (3차) 접종 후 38일 경과,음성,2020-01-16 검사일로부터 511일,미검사 ,해당없음,2021. 6. 10. 오전 3:15:57
